Mfg.,Part No.,Desc.,Units,Front Insert Len,Front Insert OD,Front OD,Length,Rear OD,Core Dia.,Rear Insert Len,Rear Insert OD,Thickness,Config,Material,CG Loc,Mass Units,Mass,Shape,Shape Param
SEMROC Astronautics,TA-5560A,Balsa Reducer BT-55 to BT-60,in,0.500,1.283,1.325,1.250,1.6370,0,0.500,1.595,0,0,Balsa,1.598,oz,0.290,cone,0
SEMROC Astronautics,TA-5560A [R],Balsa Reducer BT-55 to BT-60 – Reversed,in,0.500,1.595,1.637,1.250,1.3250,0,0.500,1.283,0,0,Balsa,0.653,oz,0.290,cone,0
SEMROC Astronautics,TA-5565,Balsa Reducer BT-55 to BT-65,in,0.500,1.283,1.325,1.500,1.7960,0,0.500,1.750,0,0,Balsa,1.775,oz,0.380,cone,0
SEMROC Astronautics,TA-5565 [R],Balsa Reducer BT-55 to BT-65 – Reversed,in,0.500,1.750,1.796,1.500,1.3250,0,0.500,1.283,0,0,Balsa,0.725,oz,0.380,cone,0
SEMROC Astronautics,TA-6065,Balsa Reducer BT-60 to BT-65,in,0.500,1.595,1.637,0.500,1.7960,0,0.500,1.750,0,0,Balsa,1.065,oz,0.230,cone,0
SEMROC Astronautics,TA-6065 [R],Balsa Reducer BT-60 to BT-65 – Reversed,in,0.500,1.750,1.796,0.500,1.6370,0,0.500,1.595,0,0,Balsa,0.435,oz,0.230,cone,0
SEMROC Astronautics,TA-6070,Balsa Reducer BT-60 to BT-70,in,0.500,1.595,1.637,1.500,2.2170,0,0.500,2.175,0,0,Balsa,1.775,oz,0.650,cone,0
SEMROC Astronautics,TA-6070 [R],Balsa Reducer BT-60 to BT-70 – Reversed,in,0.500,2.175,2.217,1.500,1.6370,0,0.500,1.595,0,0,Balsa,0.725,oz,0.650,cone,0
SEMROC Astronautics,TA-6080,Balsa Reducer BT-60 to BT-80,in,0.500,1.595,1.637,1.500,2.6000,0,0.500,2.558,0,0,Balsa,1.775,oz,0.650,cone,0
SEMROC Astronautics,TA-6080 [R],Balsa Reducer BT-60 to BT-80 – Reversed,in,0.500,2.558,2.600,1.500,1.6370,0,0.500,1.595,0,0,Balsa,0.725,oz,0.650,cone,0
SEMROC Astronautics,TA-7080,Balsa Reducer BT-70 to BT-80,in,0.500,2.175,2.217,1.500,2.6000,0,0.500,2.558,0,0,Balsa,1.775,oz,0.650,cone,0
SEMROC Astronautics,TA-7080 [R],Balsa Reducer BT-70 to BT-80 – Reversed,in,0.500,2.558,2.600,1.500,2.2170,0,0.500,2.175,0,0,Balsa,0.725,oz,0.650,cone,0
SEMROC Astronautics,BC-08542 [R],Balsa Nose Cone – Reversed,in,0.500,0.850,0.000,4.200,0.0001,0,0.000,0.000,0,0,Balsa,1.363,oz,0.150,ogive,
SEMROC Astronautics,BC-1016 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,1.600,0.0001,0,0.000,0.000,0,0,Balsa,0.609,oz,0.120,ogive,
SEMROC Astronautics,BC-1019 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,1.900,0.0001,0,0.000,0.000,0,0,Balsa,0.696,oz,0.130,ogive,
SEMROC Astronautics,BC-1020E [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,2.000,0.0001,0,0.000,0.000,0,0,Balsa,0.725,oz,0.130,elliptical
SEMROC Astronautics,BC-1022 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,2.200,0.0001,0,0.000,0.000,0,0,Balsa,0.783,oz,0.150,elliptical
SEMROC Astronautics,BC-1024 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,2.400,0.0001,0,0.000,0.000,0,0,Balsa,0.841,oz,0.150,ogive
SEMROC Astronautics,BC-1031 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,3.100,0.0001,0,0.000,0.000,0,0,Balsa,1.044,oz,0.150,elliptical
SEMROC Astronautics,BC-1032 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,3.200,0.0001,0,0.000,0.000,0,0,Balsa,1.073,oz,0.150,ogive
SEMROC Astronautics,BC-1037 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,3.700,0.0001,0,0.000,0.000,0,0,Balsa,1.218,oz,0.160,ogive
SEMROC Astronautics,BC-1039 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,3.900,0.0001,0,0.000,0.000,0,0,Balsa,1.276,oz,0.170,ogive
SEMROC Astronautics,BC-1041 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,4.100,0.0001,0,0.000,0.000,0,0,Balsa,1.334,oz,0.180,ogive
SEMROC Astronautics,BC-1041G [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,4.100,0.0001,0,0.000,0.000,0,0,Balsa,1.334,oz,0.180,cone
SEMROC Astronautics,BC-1041P [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,4.100,0.0001,0,0.000,0.000,0,0,Balsa,1.334,oz,0.180,elliptical
SEMROC Astronautics,BC-1045 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,4.500,0.0001,0,0.000,0.000,0,0,Balsa,1.450,oz,0.190,ogive
SEMROC Astronautics,BC-1045P [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,4.500,0.0001,0,0.000,0.000,0,0,Balsa,1.450,oz,0.190,elliptical
SEMROC Astronautics,BC-1048 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,4.800,0.0001,0,0.000,0.000,0,0,Balsa,1.537,oz,0.190,elliptical
SEMROC Astronautics,BC-1050 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,5.000,0.0001,0,0.000,0.000,0,0,Balsa,1.595,oz,1.090,elliptical
SEMROC Astronautics,BC-1051 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,5.100,0.0001,0,0.000,0.000,0,0,Balsa,1.624,oz,0.200,elliptical
SEMROC Astronautics,BC-1052 [R],Balsa Nose Cone – Reversed,in,0.500,1.000,1.040,5.200,0.0001,0,0.000,0.000,0,0,Balsa,1.653,oz,0.220,ogive
