Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Mass Units,Mass
SEMROC Astronautics,ST-720,Standard Body Tube - Series 7,in,0.715,0.759,2,Spiral/Glassine,,oz,0.036
SEMROC Astronautics,ST-720H,Standard Body Tube - Series 7,in,0.715,0.759,2,Spiral/Glassine,,oz,0.036
SEMROC Astronautics,ST-723,Standard Body Tube - Series 7,in,0.715,0.759,2.25,Spiral/Glassine,,oz,0.039
SEMROC Astronautics,ST-730,Standard Body Tube - Series 7,in,0.715,0.759,3,Spiral/Glassine,,oz,0.048
SEMROC Astronautics,ST-730E,Standard Body Tube - Series 7,in,0.715,0.759,3,Spiral/Glassine,,oz,0.048
SEMROC Astronautics,ST-740,Standard Body Tube - Series 7,in,0.715,0.759,4,Spiral/Glassine,,oz,0.06
SEMROC Astronautics,ST-749,Standard Body Tube - Series 7,in,0.715,0.759,4.9,Spiral/Glassine,,oz,0.08
SEMROC Astronautics,ST-753,Standard Body Tube - Series 7,in,0.715,0.759,5.25,Spiral/Glassine,,oz,0.085
SEMROC Astronautics,ST-755,Standard Body Tube - Series 7,in,0.715,0.759,5.5,Spiral/Glassine,,oz,0.087
SEMROC Astronautics,ST-758,Standard Body Tube - Series 7,in,0.715,0.759,5.8,Spiral/Glassine,,oz,0.092
SEMROC Astronautics,ST-760,Standard Body Tube - Series 7,in,0.715,0.759,6,Spiral/Glassine,,oz,0.096
SEMROC Astronautics,ST-765,Standard Body Tube - Series 7,in,0.715,0.759,6.5,Spiral/Glassine,,oz,0.104
SEMROC Astronautics,ST-770,Standard Body Tube - Series 7,in,0.715,0.759,7,Spiral/Glassine,,oz,0.112
SEMROC Astronautics,ST-790,Standard Body Tube - Series 7,in,0.715,0.759,9,Spiral/Glassine,,oz,0.144
SEMROC Astronautics,ST-8100,Standard Body Tube - Series 8,in,0.865,0.908,10,Spiral/Glassine,,oz,0.25
SEMROC Astronautics,ST-8103,Standard Body Tube - Series 8,in,0.865,0.908,10.3,Spiral/Glassine,,oz,0.258
SEMROC Astronautics,ST-8113,Standard Body Tube - Series 8,in,0.865,0.908,11.3,Spiral/Glassine,,oz,0.283
SEMROC Astronautics,ST-8120,Standard Body Tube - Series 8,in,0.865,0.908,12,Spiral/Glassine,,oz,0.36
SEMROC Astronautics,ST-8150,Standard Body Tube - Series 8,in,0.865,0.908,15,Spiral/Glassine,,oz,0.375
SEMROC Astronautics,ST-8180,Standard Body Tube - Series 8,in,0.865,0.908,18,Spiral/Glassine,,oz,0.45
SEMROC Astronautics,ST-820,Standard Body Tube - Series 8,in,0.865,0.908,2,Spiral/Glassine,,oz,0.05
SEMROC Astronautics,ST-823,Standard Body Tube - Series 8,in,0.865,0.908,2.25,Spiral/Glassine,,oz,0.055
SEMROC Astronautics,ST-825,Standard Body Tube - Series 8,in,0.865,0.908,2.5,Spiral/Glassine,,oz,0.063
SEMROC Astronautics,ST-830,Standard Body Tube - Series 8,in,0.865,0.908,3,Spiral/Glassine,,oz,0.075
SEMROC Astronautics,ST-845,Standard Body Tube - Series 8,in,0.865,0.908,4.5,Spiral/Glassine,,oz,0.113
SEMROC Astronautics,ST-855,Standard Body Tube - Series 8,in,0.865,0.908,5.5,Spiral/Glassine,,oz,0.138
SEMROC Astronautics,ST-857,Standard Body Tube - Series 8,in,0.865,0.908,5.7,Spiral/Glassine,,oz,0.143
SEMROC Astronautics,ST-873,Standard Body Tube - Series 8,in,0.865,0.908,7.3,Spiral/Glassine,,oz,0.183
SEMROC Astronautics,ST-880,Standard Body Tube - Series 8,in,0.865,0.908,8,Spiral/Glassine,,oz,0.2
SEMROC Astronautics,ST-890,Standard Body Tube - Series 8,in,0.865,0.908,9,Spiral/Glassine,,oz,0.225
SEMROC Astronautics,ST-8F120,Standard Body Tube - Series 8F,in,0.885,0.921,12,Spiral/Glassine,,oz,0.3
SEMROC Astronautics,ST-8F180,Standard Body Tube - Series 8F,in,0.885,0.921,18,Spiral/Glassine,,oz,0.45
SEMROC Astronautics,ST-8F60,Standard Body Tube - Series 8F,in,0.885,0.921,6,Spiral/Glassine,,oz,0.149
SEMROC Astronautics,ST-8F90,Standard Body Tube - Series 8F,in,0.885,0.921,9,Spiral/Glassine,,oz,0.225
SEMROC Astronautics,ST-9180,Standard Body Tube - Series 9,in,0.95,0.998,18,Spiral/Glassine,,oz,0.522
SEMROC Astronautics,ST-930,Standard Body Tube - Series 9,in,0.95,0.998,3,Spiral/Glassine,,oz,0.087
SEMROC Astronautics,ST-940,Standard Body Tube - Series 9,in,0.95,0.998,4,Spiral/Glassine,,oz,0.116
SEMROC Astronautics,ST-940E,Standard Body Tube - Series 9,in,0.95,0.998,4,Spiral/Glassine,,oz,0.116
SEMROC Astronautics,ST-950,Standard Body Tube - Series 9,in,0.95,0.998,5,Spiral/Glassine,,oz,0.145
SEMROC Astronautics,ST-950E,Standard Body Tube - Series 9,in,0.95,0.998,5,Spiral/Glassine,,oz,0.145
SEMROC Astronautics,ST-980,Standard Body Tube - Series 9,in,0.95,0.998,8,Spiral/Glassine,,oz,0.232
SEMROC Astronautics,ST-990,Standard Body Tube - Series 9,in,0.95,0.998,9,Spiral/Glassine,,oz,0.261
