Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len
SEMROC Astronautics,BNC-20B,Elliptical,in,1.700,0.736,0,0.375,0.710,0,elliptical,0,Balsa,1.473,oz,0.050,0
SEMROC Astronautics,BNC-20CB,Ogive,in,1.750,0.736,0,0.375,0.710,0,ogive,0,Balsa,1.509,oz,0.050,0
SEMROC Astronautics,BNC-20H,Elliptical,in,0.800,0.736,0,0.375,0.710,0,elliptical,0,Balsa,0.834,oz,0.030,0
SEMROC Astronautics,BNC-20L,Ogive,in,1.400,0.736,0,0.375,0.710,0,ogive,0,Balsa,1.260,oz,0.040,0
SEMROC Astronautics,BNC-20N,Ogive,in,2.750,0.736,0,0.375,0.710,0,ogive,0,Balsa,2.219,oz,0.080,0
SEMROC Astronautics,BNC-20R,Conical,in,2.750,0.736,0,0.375,0.710,0,cone,0,Balsa,2.219,oz,0.070,0
SEMROC Astronautics,BNC-20SP,Elliptical,in,0.250,0.736,0,0.375,0.710,0,elliptical,0,Balsa,0.444,oz,0.010,0
SEMROC Astronautics,BNC-20Y,Conical,in,1.000,0.736,0,0.375,0.710,0,cone,0,Balsa,0.976,oz,0.020,0
SEMROC Astronautics,BNC-30C,Blunt Ogive,in,0.750,0.765,0,0.375,0.725,0,elliptical,0,Balsa,0.799,oz,0.040,0
SEMROC Astronautics,BNC-30D,Ogive,in,1.500,0.765,0,0.375,0.725,0,ogive,0,Balsa,1.331,oz,0.060,0
SEMROC Astronautics,BNC-30DE,Ogive,in,1.380,0.765,0,0.375,0.725,0,ogive,0,Balsa,1.246,oz,0.060,0
SEMROC Astronautics,BNC-30E,Ogive,in,2.300,0.765,0,0.375,0.725,0,ogive,0,Balsa,1.899,oz,0.070,0
SEMROC Astronautics,BNC-40D,Ogive,in,1.500,0.825,0,0.400,0.765,0,ogive,0,Balsa,1.349,oz,0.040,0
SEMROC Astronautics,BNC-40F,Conical,in,1.900,0.825,0,0.400,0.765,0,cone,0,Balsa,1.633,oz,0.070,0
SEMROC Astronautics,BNC-40G,Ogive,in,4.500,0.825,0,0.400,0.765,0,ogive,0,Balsa,3.479,oz,0.160,0
SEMROC Astronautics,BNC-50C,Conical,in,1.270,0.976,0,0.500,0.950,0,cone,0,Balsa,1.257,oz,0.060,0
SEMROC Astronautics,BNC-50G,Ogive,in,5.700,0.976,0,0.500,0.950,0,ogive,0,Balsa,4.402,oz,0.230,0
SEMROC Astronautics,BNC-50J,Blunt Ogive,in,1.375,0.976,0,0.500,0.950,0,elliptical,0,Balsa,1.331,oz,0.080,0
SEMROC Astronautics,BNC-50K,Fat Ogive,in,2.750,0.976,0,0.500,0.950,0,ogive,0,Balsa,2.308,oz,0.130,0
SEMROC Astronautics,BNC-50KP,Parabolic,in,2.750,0.976,0,0.500,0.950,0,elliptical,0,Balsa,2.308,oz,0.130,0
SEMROC Astronautics,BNC-50V,Conical,in,5.750,0.976,0,0.500,0.950,0,cone,0,Balsa,4.438,oz,0.190,0
SEMROC Astronautics,BNC-50X,Elliptical,in,3.250,0.976,0,0.500,0.950,0,elliptical,0,Balsa,2.663,oz,0.150,0
SEMROC Astronautics,BNC-50Y,Ogive,in,4.375,0.976,0,0.500,0.950,0,ogive,0,Balsa,3.461,oz,0.160,0
SEMROC Astronautics,BNC-50YP,Ogive,in,4.280,0.976,0,0.500,0.950,0,ogive,0,Balsa,3.394,oz,0.160,0
SEMROC Astronautics,BNC-55AA,Ogive,in,3.125,1.325,0,0.600,1.283,0,ogive,0,Balsa,2.645,oz,0.150,0
SEMROC Astronautics,BNC-55AC,Secant-Ogive,in,5.375,1.325,0,0.600,1.283,0,Sears-haack,0,Balsa,4.242,oz,0.320,0
SEMROC Astronautics,BNC-55ACP,Secant-Ogive,in,5.750,1.325,0,0.600,1.283,0,Sears-haack,0,Balsa,4.509,oz,0.330,0
SEMROC Astronautics,BNC-55AO,Elliptical,in,5.000,1.325,0,0.600,1.283,0,elliptical,0,Balsa,3.976,oz,0.430,0
SEMROC Astronautics,BNC55B,Elliptical,in,3.000,1.325,0,0.600,1.283,0,elliptical,0,Balsa,2.556,oz,0.270,0
SEMROC Astronautics,BNC-55CT,Rounded Ogive,in,2.900,1.325,0,0.600,1.283,0,elliptical,0,Balsa,2.485,oz,0.240,0
SEMROC Astronautics,BNC-55EX,Fat Ogive,in,3.400,1.325,0,0.600,1.283,0,ogive,0,Balsa,2.840,oz,0.290,0
SEMROC Astronautics,BNC-55F,Ogive,in,4.200,1.325,0,0.600,1.283,0,ogive,0,Balsa,3.408,oz,0.360,0
SEMROC Astronautics,BNC-55FD,Base-Drilled Ogive,in,4.200,1.325,0,0.600,1.283,0,ogive,0,Balsa,3.408,oz,0.210,0
SEMROC Astronautics,BNC-55PT,Conical,in,6.150,1.325,0,0.600,1.283,0,cone,0,Balsa,4.793,oz,0.560,0
SEMROC Astronautics,BNC-55X,Elliptical,in,4.100,1.325,0,0.600,1.283,0,elliptical,0,Balsa,3.337,oz,0.370,0
SEMROC Astronautics,BNC-55Z,Ogive,in,3.000,1.325,0,0.600,1.283,0,ogive,0,Balsa,2.556,oz,0.250,0
SEMROC Astronautics,BNC-60AH,Elliptical,in,6.625,1.637,0,0.800,1.595,0,elliptical,0,Balsa,5.272,oz,0.800,0
SEMROC Astronautics,BNC-60L,Elliptical,in,3.125,1.637,0,0.800,1.595,0,elliptical,0,Balsa,2.787,oz,0.340,0
SEMROC Astronautics,BNC-60LP,Elliptical,in,2.750,1.637,0,0.800,1.595,0,elliptical,0,Balsa,2.521,oz,0.240,0
SEMROC Astronautics,BNC-60MS,Elliptical,in,2.600,1.637,0,0.800,1.595,0,elliptical,0,Balsa,2.414,oz,0.210,0
SEMROC Astronautics,BNC-60NA,Rounded Ogive,in,4.800,1.637,0,0.800,1.595,0,elliptical,0,Balsa,3.976,oz,0.370,0
SEMROC Astronautics,BNC-60NS,Conical,in,10.000,1.637,0,0.800,1.595,0,cone,0,Balsa,7.668,oz,0.456,0
SEMROC Astronautics,BNC-60RL,Ogive,in,8.375,1.637,0,0.800,1.595,0,ogive,0,Balsa,6.514,oz,0.810,0
SEMROC Astronautics,BNC-60X,Elliptical,in,5.460,1.637,0,0.800,1.595,0,elliptical,0,Balsa,4.445,oz,0.620,0
SEMROC Astronautics,BNC-60Y,Ogive,in,7.250,1.637,0,0.800,1.595,0,ogive,0,Balsa,5.716,oz,0.730,0
SEMROC Astronautics,BNC-65AF,Elliptical,in,4.000,1.796,0,0.800,1.750,0,elliptical,0,Balsa,3.408,oz,0.520,0
SEMROC Astronautics,BNC-65L,Elliptical,in,3.250,1.796,0,0.800,1.750,0,elliptical,0,Balsa,2.876,oz,0.410,0
SEMROC Astronautics,BNC-70AJ,Elliptical,in,4.250,2.217,0,0.800,2.175,0,elliptical,0,Balsa,3.586,oz,0.850,0
SEMROC Astronautics,BNC-70CT,Bezier,in,4.500,2.217,0,0.800,2.175,0,elliptical,0,Balsa,3.763,oz,0.900,0
SEMROC Astronautics,BNC-70D,Ogive,in,4.250,2.217,0,0.800,2.175,0,ogive,0,Balsa,3.586,oz,0.900,0
SEMROC Astronautics,BNC-70MS,Elliptical,in,3.540,2.217,0,0.800,2.175,0,elliptical,0,Balsa,3.081,oz,1.000,0
SEMROC Astronautics,BNC-70NH,Elliptical,in,9.750,2.217,0,0.800,2.175,0,elliptical,0,Balsa,7.491,oz,1.480,0
SEMROC Astronautics,BNC-70HAC,Secant-Ogive,in,9.160,2.247,0,0.800,2.175,0,Sears-haack,0,Balsa,7.072,oz,2.000,0
SEMROC Astronautics,BNC-70HAJ,Elliptical,in,4.250,2.247,0,0.800,2.175,0,elliptical,0,Balsa,3.586,oz,0.850,0
SEMROC Astronautics,BNC-70HB,Ogive,in,7.000,2.247,0,0.800,2.175,0,ogive,0,Balsa,5.538,oz,1.130,0
SEMROC Astronautics,BNC-70HCT,Bezier,in,4.500,2.247,0,0.800,2.175,0,elliptical,0,Balsa,3.763,oz,0.900,0
SEMROC Astronautics,BNC-70HD,Ogive,in,4.330,2.247,0,0.800,2.175,0,ogive,0,Balsa,3.642,oz,0.880,0
SEMROC Astronautics,BNC-80AH,Ogive,in,10.500,2.600,0,1.000,2.558,0,ogive,0,Balsa,8.165,oz,2.810,0
SEMROC Astronautics,BNC-80AO,Ogive,in,9.900,2.600,0,1.000,2.558,0,ogive,0,Balsa,7.739,oz,1.340,0
SEMROC Astronautics,BNC-80BB,Elliptical,in,4.000,2.600,0,1.000,2.558,0,elliptical,0,Balsa,3.550,oz,1.100,0
SEMROC Astronautics,BNC-80D,Ogive,in,5.000,2.600,0,1.000,2.558,0,ogive,0,Balsa,4.260,oz,0.980,0
SEMROC Astronautics,BNC-80K,Ogive,in,8.200,2.600,0,1.000,2.558,0,ogive,0,Balsa,6.532,oz,1.230,0
SEMROC Astronautics,BNC-80KA,Ogive,in,7.330,2.600,0,1.000,2.558,0,ogive,0,Balsa,5.914,oz,1.130,0
SEMROC Astronautics,BNC-80KP,Rounded Ogive,in,6.930,2.600,0,1.000,2.558,0,elliptical,0,Balsa,5.630,oz,1.120,0
SEMROC Astronautics,BNC-80L,Elliptical,in,5.000,2.600,0,1.000,2.558,0,elliptical,0,Balsa,4.260,oz,1.300,0
SEMROC Astronautics,BNC-80VE,Ogive,in,4.900,2.600,0,1.000,2.558,0,ogive,0,Balsa,4.189,oz,1.300,0
SEMROC Astronautics,BNC-80HAH,Ogive,in,10.500,2.640,0,1.000,2.558,0,ogive,0,Balsa,8.165,oz,2.810,0
SEMROC Astronautics,BNC-80HAO,Ogive,in,9.900,2.640,0,1.000,2.558,0,ogive,0,Balsa,7.739,oz,1.340,0
SEMROC Astronautics,BNC-80HBB,Elliptical,in,4.000,2.640,0,1.000,2.558,0,elliptical,0,Balsa,3.550,oz,1.100,0
SEMROC Astronautics,BNC-80HD,Ogive,in,5.000,2.640,0,1.000,2.558,0,ogive,0,Balsa,4.260,oz,0.980,0
SEMROC Astronautics,BNC-80HK,Ogive,in,8.200,2.640,0,1.000,2.558,0,ogive,0,Balsa,6.532,oz,1.230,0
SEMROC Astronautics,BNC-80HKA,Ogive,in,7.330,2.640,0,1.000,2.558,0,ogive,0,Balsa,5.914,oz,1.130,0
SEMROC Astronautics,BNC-80HKP,Rounded Ogive,in,6.930,2.640,0,1.000,2.558,0,elliptical,0,Balsa,5.630,oz,1.120,0
SEMROC Astronautics,BNC-80HL,Ogive,in,5.000,2.640,0,1.000,2.558,0,ogive,0,Balsa,4.260,oz,1.300,0
